Unnamed: 0,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,barometric_altitude,transponder_code,special_purpose_indicator,position_source,category,hour
0,a808c5,CTF617  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-70.7567,42.4879,579.12,False,99.36,211.88,0.0,533.4,7403.0,False,0,0,13
1,39de4f,TVF14LQ ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,6.0246,48.3662,10347.96,False,225.21,112.99,0.0,10058.4,1000.0,False,0,0,13
2,39de4e,TVF76MJ ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,4.3776,45.5893,11338.56,False,197.59,347.52,0.33,10972.8,1000.0,False,0,0,13
3,a89ea5,N6545H  ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-102.5612,32.1829,1143.0,False,57.62,37.38,-0.65,1127.76,,False,0,0,13
4,4b1815,SWR8LG  ,Switzerland,2025-10-01 13:43:14,2025-10-01 13:43:14,8.5653,47.446,,True,4.89,196.88,,,3015.0,False,0,0,13
5,a5f852,RTY484  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-104.8445,40.7329,2011.68,False,51.68,43.39,2.28,1958.34,,False,0,0,13
6,4b1819,SWR5AX  ,Switzerland,2025-10-01 13:43:17,2025-10-01 13:43:17,1.6636,40.8762,12047.22,False,209.47,55.61,0.0,11582.4,5317.0,False,0,0,13
7,ac96b8,AAL422  ,United States,2025-10-01 13:42:35,2025-10-01 13:42:39,-78.1455,31.9159,10896.6,False,218.02,195.18,0.0,10363.2,,False,0,0,13
8,a46e70,LXJ385  ,United States,2025-10-01 13:43:15,2025-10-01 13:43:17,-90.8802,35.6346,14295.12,False,209.47,39.32,0.0,13716.0,2544.0,False,0,0,13
9,ad4f1c,ERU957  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-81.1157,29.3101,464.82,False,53.82,148.28,-0.65,480.06,,False,0,0,13
10,ad4f1d,N957ES  ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-97.9574,34.4864,2042.16,False,53.47,191.09,0.33,1950.72,,False,0,0,13
11,801638,AXB376  ,India,2025-10-01 13:43:17,2025-10-01 13:43:17,74.3596,14.6972,11254.74,False,231.51,127.51,0.33,10660.38,,False,0,0,13
12,a2e5ec,SKW4037 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-113.0861,42.095,8427.72,False,246.76,143.99,-11.7,8115.3,,False,0,0,13
13,7c6b2f,JST575  ,Australia,2025-10-01 13:43:17,2025-10-01 13:43:17,145.5227,-36.262,9326.88,False,195.22,214.7,-9.1,9357.36,1176.0,False,0,0,13
14,39de4b,TVF28CQ ,France,2025-10-01 13:43:17,2025-10-01 13:43:18,8.8226,47.7236,12115.8,False,239.63,106.33,0.0,11887.2,664.0,False,0,0,13
15,39de4a,TVF98SK ,France,2025-10-01 13:42:09,2025-10-01 13:42:10,17.1792,43.3218,11742.42,False,214.13,300.94,0.0,11590.02,5643.0,False,0,0,13
16,4b1812,SWR20D  ,Switzerland,2025-10-01 13:43:17,2025-10-01 13:43:17,8.1002,47.5427,3421.38,False,124.66,13.12,-6.83,3268.98,1000.0,False,0,0,13
17,39de4d,TVF52BG ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,9.711,55.8086,12062.46,False,203.86,39.68,-0.33,11887.2,2531.0,False,0,0,13
18,a808bb,N61697  ,United States,2025-10-01 13:39:01,2025-10-01 13:39:01,-80.4256,25.6435,-22.86,False,31.42,267.18,-0.65,0.0,,False,0,0,13
19,88044e,AIQ5421 ,Thailand,2025-10-01 13:43:17,2025-10-01 13:43:17,99.3131,16.7438,12329.16,False,232.76,348.91,-4.88,11506.2,1276.0,False,0,0,13
20,aa9321,UAL870  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-122.1234,37.5151,1120.14,False,99.08,301.63,-3.9,1089.66,7023.0,False,0,0,13
21,a53edd,GPD437  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-76.7056,39.233,358.14,False,82.95,144.34,-4.23,312.42,1631.0,False,0,0,13
22,ade18c,AAL2748 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-113.1285,42.7845,10416.54,False,263.82,124.03,0.0,10058.4,,False,0,0,13
23,a2cbd8,N28CD   ,United States,2025-10-01 13:43:11,2025-10-01 13:43:17,-83.5252,30.6167,723.9,False,58.22,332.08,0.0,746.76,,False,0,0,13
24,ade191,DAL1826 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-91.7827,40.4553,10218.42,False,225.48,242.85,-0.33,9753.6,7427.0,False,0,0,13
25,880459,AIQ644  ,Thailand,2025-10-01 13:36:57,2025-10-01 13:39:36,105.6203,21.0731,1844.04,False,107.45,11.04,-2.6,1783.08,,False,0,0,13
26,a3b87f,DAL2746 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-89.1373,37.0415,11513.82,False,230.44,227.26,0.0,10980.42,,False,0,0,13
27,39de50,TVF15VX ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,6.5737,46.1559,11590.02,False,243.98,110.23,0.0,11277.6,1000.0,False,0,0,13
28,880451,AIQ3559 ,Thailand,2025-10-01 13:43:17,2025-10-01 13:43:17,100.5559,15.7219,9936.48,False,228.05,182.07,-12.03,9265.92,,False,0,0,13
29,39de53,TVF86LM ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,4.24,48.7157,7414.26,False,216.53,108.56,11.05,7139.94,,False,0,0,13
30,880457,AIQ170  ,Thailand,2025-10-01 13:43:12,2025-10-01 13:43:12,99.3369,13.9139,7650.48,False,221.76,258.9,4.55,7178.04,,False,0,0,13
31,880456,AIQ3013 ,Thailand,2025-10-01 13:43:17,2025-10-01 13:43:17,99.9582,13.3134,7673.34,False,215.63,194.93,6.83,7185.66,,False,0,0,13
32,880455,AIQ3343 ,Thailand,2025-10-01 13:43:17,2025-10-01 13:43:17,102.484,15.5279,11719.56,False,250.77,226.91,0.0,10972.8,,False,0,0,13
33,ad06b6,CXK567  ,United States,2025-10-01 13:43:03,2025-10-01 13:43:17,-83.9711,34.0298,1150.62,False,33.5,317.49,4.88,1066.8,,False,0,0,13
34,a6aea5,N53FV   ,United States,2025-10-01 13:43:18,2025-10-01 13:43:18,-96.4786,30.5969,2827.02,False,68.68,81.38,0.0,2720.34,,False,0,0,13
35,39d228,FHURI1  ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,6.9549,43.5453,,True,4.89,45.0,,,1000.0,False,0,0,13
36,a34e6a,ENY3381 ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-90.5534,38.8585,1074.42,False,90.04,150.95,0.33,1005.84,7326.0,False,0,0,13
37,4b1809,SWR7GP  ,Switzerland,2025-10-01 13:43:17,2025-10-01 13:43:17,2.4339,48.7837,9197.34,False,238.91,137.79,0.0,8839.2,2020.0,False,0,0,13
38,a2cbd1,N28BX   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-84.4748,35.6615,1394.46,False,63.02,264.85,0.0,1325.88,,False,0,0,13
39,aaa6d0,CXK1007 ,United States,2025-10-01 13:42:56,2025-10-01 13:42:57,-112.062,41.5294,1341.12,False,43.22,359.32,-2.6,1310.64,,False,0,2,13
40,a95e14,PSSSP   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-46.8651,-23.7361,3878.58,False,97.25,291.41,1.3,3649.98,,False,0,0,13
41,aa3cc2,N759PE  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-112.5026,34.0421,2331.72,False,63.64,302.79,-0.33,2263.14,,False,0,0,13
42,a53eef,UPS5961 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-118.1798,34.7122,6865.62,False,223.82,130.06,-10.4,6530.34,3364.0,False,0,0,13
43,4b1801,SWR817  ,Switzerland,2025-10-01 13:43:17,2025-10-01 13:43:17,9.7646,51.5869,7467.6,False,225.37,202.41,5.85,7315.2,1000.0,False,0,0,13
44,a5820f,N454MD  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-98.0707,31.4693,1676.4,False,49.18,15.78,0.98,1554.48,,False,0,0,13
45,a798c6,EJA589  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-85.685,38.0514,861.06,False,97.33,345.3,-5.2,807.72,2067.0,False,0,0,13
46,a57b43,N452TR  ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-78.7446,34.6886,13677.9,False,242.85,213.42,0.0,13106.4,7304.0,False,0,0,13
47,ac4963,,United States,2025-10-01 13:41:04,2025-10-01 13:41:04,-118.4226,33.9468,,True,8.23,84.38,,,,False,0,0,13
48,4952ca,TAP71LW ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,0.5957,47.8299,12306.3,False,239.34,231.28,0.0,11879.58,7543.0,False,0,0,13
49,aae316,AAL2052 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-97.025,33.1501,1493.52,False,112.66,179.74,-4.88,1417.32,3217.0,False,0,0,13
50,00b22e,SAA347  ,South Africa,2025-10-01 13:43:17,2025-10-01 13:43:17,27.3733,-26.641,8580.12,False,214.65,224.03,6.5,8069.58,,False,0,0,13
51,80163f,AIC2867 ,India,2025-10-01 13:43:16,2025-10-01 13:43:17,76.797,28.6043,1676.4,False,105.69,103.22,-6.18,1699.26,,False,0,0,13
52,4952cf,TAP670  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,1.4493,49.2183,11993.88,False,211.04,34.27,0.0,11582.4,2251.0,False,0,0,13
53,a36898,DAL1455 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-83.8446,38.0311,11140.44,False,254.7,181.16,0.0,10668.0,,False,0,0,13
54,00b22f,SAA346  ,South Africa,2025-10-01 13:39:48,2025-10-01 13:39:49,18.5986,-33.9696,,True,1.03,253.12,,,,False,0,0,13
55,a10e8b,UAL342  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-85.6899,40.5186,8077.2,False,221.47,349.29,-5.2,7703.82,,False,0,0,13
56,a84528,N63199  ,United States,2025-10-01 13:41:55,2025-10-01 13:41:55,-82.418,31.7191,350.52,False,47.54,166.87,-1.95,243.84,1200.0,False,0,0,13
57,aaa6e4,AVA019  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-11.3953,38.7347,11247.12,False,261.17,256.68,0.0,10668.0,443.0,False,0,6,13
58,adffb9,BOXER33 ,United States,2025-10-01 13:43:12,2025-10-01 13:43:13,-100.6539,29.841,5928.36,False,109.5,174.88,-137.53,5341.62,4532.0,False,0,13,13
59,ac96be,AAL1025 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-104.4839,31.8266,11262.36,False,251.56,90.0,0.0,10668.0,,False,0,0,13
60,4952d0,TAP691P ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-9.1827,38.6937,617.22,False,81.68,22.2,-4.23,495.3,3502.0,False,0,0,13
61,aa69db,ENY4144 ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-87.8196,41.7508,2545.08,False,141.46,150.36,16.58,2385.06,1100.0,False,0,1,13
62,ac96d4,N910BR  ,United States,2025-10-01 13:43:16,2025-10-01 13:43:16,-69.8423,43.9662,30.48,False,20.42,220.91,-2.28,-45.72,,False,0,0,13
63,aaf656,VXP46   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-98.3168,26.3172,3368.04,False,164.64,96.46,-6.83,3200.4,765.0,False,0,0,13
64,a6eb12,LXJ545  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-94.2733,33.7073,13441.68,False,237.04,66.33,3.58,12832.08,,False,0,0,13
65,a36884,N319CT  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-91.3513,41.6697,609.6,False,64.79,46.93,-1.95,563.88,,False,0,0,13
66,aa56b6,UAL364  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-86.9704,43.1756,11437.62,False,217.9,267.02,0.0,10972.8,1303.0,False,0,0,13
67,4952c9,TAP433  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,0.0992,47.972,10713.72,False,253.31,223.19,4.55,10271.76,7617.0,False,0,0,13
